city,cut_year,early,late,smaller_side
Casablanca,2021,8547,542,542
Lima,2017,20709,798,798
Athens,2019,31551,1607,1607
Dar es Salaam,2018,2761,26885,2761
Taipei,2020,7121,7866,7121
Jakarta,2020,9128,84562,9128
Singapore,2019,11278,11048,11048
Kampala,2019,17006,12099,12099
Melbourne,2020,17837,13296,13296
Ottawa,2017,13411,38004,13411
Maseru,2017,16114,17111,16114
Kuwait City,2022,19931,42557,19931
Tokyo,2019,21591,34314,21591
San Jose,2018,34823,23477,23477
San Francisco,2017,37395,27331,27331
Lisbon,2019,28354,29446,28354
Moscow,2021,65500,49539,49539
Sao Paulo,2019,52688,72260,52688
Washington,2021,54951,65621,54951
Berlin,2021,72833,86186,72833
