mode,city,n,share,green_view_index,building_view_index,sky_view_index,top_road,top_road_share,top_year,top_year_share,top_month,top_month_share,top_hour,top_hour_share,top_source,top_source_share,top_projection_type,top_projection_type_share,confound_flag
0,Athens,2045,0.409,0.1447051834594858,0.334334355206115,0.13903240233049663,drive,0.8420537897310514,2018,0.9242053789731052,10,0.8973105134474327,9,0.26748166259168704,Mapillary,0.9867970660146699,perspective,1.0,month(+0.30)
1,Athens,1959,0.3918,0.09940766476078092,0.3452297452186352,0.06367597081137262,drive,0.7192445125063808,2018,0.8560490045941807,10,0.5599795814190913,16,0.16743236345074017,Mapillary,0.9826442062276671,perspective,1.0,-
2,Athens,996,0.1992,0.1329535561350977,0.3745499352121481,0.06438819727919998,drive,0.5983935742971888,2018,0.7841365461847389,8,0.8493975903614458,10,0.3253012048192771,Mapillary,1.0,perspective,1.0,month(+0.64)
0,Berlin,1944,0.3888,0.0821888267368058,0.22434642913121783,0.175854842865592,drive,0.5601851851851852,2022,0.4074074074074074,12,0.13117283950617284,17,0.15689300411522633,Mapillary,0.7983539094650206,fisheye,0.5349794238683128,-
1,Berlin,2042,0.4084,0.09863104122995298,0.20781317142858652,0.1690650931876292,drive,0.4951028403525955,2022,0.44809010773751223,9,0.13124387855044076,9,0.14397649363369247,Mapillary,0.8202742409402547,fisheye,0.5533790401567091,-
2,Berlin,1014,0.2028,0.11638753300190983,0.21689987791712512,0.12400360898075699,drive,0.4289940828402367,2022,0.41025641025641024,9,0.1351084812623274,9,0.15581854043392504,Mapillary,0.7544378698224852,perspective,0.6429980276134122,-
0,Casablanca,444,0.0888,0.04054102295968413,0.21752117406889726,0.2899476063278733,drive,0.9301801801801802,2021,0.7747747747747747,6,0.7747747747747747,21,0.6914414414414415,Mapillary,0.7747747747747747,perspective,1.0,"year(+0.70), month(+0.70), hour(+0.63)"
1,Casablanca,1819,0.3638,0.06854455129898814,0.3833000953888386,0.11101531544430349,drive,0.8894997251236944,2018,0.9912039582188016,4,0.9912039582188016,11,0.4958768554150632,Mapillary,0.9895547003848268,perspective,1.0,-
2,Casablanca,2737,0.5474,0.06848579587306503,0.27594245181041543,0.2360695932962557,drive,0.9141395688710267,2018,0.9981731823164048,4,0.9981731823164048,11,0.4084764340518816,Mapillary,0.9963463646328097,perspective,1.0,-
0,Dar es Salaam,1499,0.2998,0.15211672790552486,0.26357780075632353,0.15037786295126698,drive,0.857238158772515,2018,0.7384923282188125,10,0.6484322881921281,13,0.19879919946631086,Mapillary,1.0,perspective,1.0,-
1,Dar es Salaam,2499,0.4998,0.24235105966830484,0.19800231988360756,0.174946035566346,drive,0.8551420568227291,2018,0.9483793517406963,10,0.947579031612645,11,0.1400560224089636,Mapillary,1.0,perspective,1.0,"year(+0.21), month(+0.27)"
